1,2,3,4,5,6,7,8,9,10,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0
